Species,Lifestyle,Accession number,Host species,Label
Bacillus virus 1,Temperate,NC_009737,Bacillus sp. 6k512,0
Rhizobium phage 16-3,Temperate,NC_011103,NA,0
Staphylococcus virus 187,Temperate,NC_007047,Staphylococcus aureus,0
Helicobacter virus 1961P,Temperate,NC_019512,Helicobacter pylori,0
Streptococcus phage 5093,Temperate,NC_012753,Streptococcus thermophilus,0
Salmonella phage 7-11,Temperate,NC_015938,Salmonella enterica,0
Staphylococcus virus 80alpha,Temperate,NC_009526,Staphylococcus aureus,0
Stx2-converting phage 86,Temperate,NC_008464,Escherichia coli,0
Lactococcus phage 949,Temperate,NC_015263,Lactococcus lactis,0
Listeria phage A006,Temperate,NC_009815,Listeria monocytogenes,0
Listeria phage A500,Temperate,NC_009810,Listeria monocytogenes,0
Burkholderia virus AH2,Temperate,NC_018283,Burkholderia cenocepacia,0
Hamiltonella virus APSE1,Temperate,NC_000935,NA,0
Bacteriophage APSE-2,Temperate,NC_011551,Candidatus Hamiltonella defensa,0
Listeria phage B025,Temperate,NC_009812,Listeria monocytogenes,0
Burkholderia virus Bcepil02,Temperate,NC_012743,Burkholderia cenocepacia,0
Burkholderia virus Bcepmigl,Temperate,NC_019917,Burkholderia cenocepacia,0
Brochothrix phage BL3,Temperate,NC_015254,Brochothrix thermosphacta,0
Bacillus virus BMBtp2,Temperate,NC_019912,Bacillus thuringiensis,0
Bacillus phage BtCS33,Temperate,NC_018085,Bacillus thuringiensis,0
Mycobacterium phage BTCU-1,Temperate,NC_021533,Mycolicibacterium smegmatis,0
Clostridium phage c-st,Temperate,NC_007581,Clostridium botulinum,0
Mycobacterium phage CASbig,Temperate,NC_021324,Mycolicibacterium smegmatis,0
Azospirillum phage Cd,Temperate,NC_010355,Azospirillum brasilense,0
Xanthomonas virus Cf1c,Temperate,NC_001396,Xanthomonas campestris,0
Mycobacterium phage Chy4,Temperate,NC_021338,Mycolicibacterium smegmatis,0
Mycobacterium phage Chy5,Temperate,NC_021318,Mycolicibacterium smegmatis,0
Staphylococcus virus CNPH82,Temperate,NC_008722,Staphylococcus epidermidis,0
Campylobacter virus CP21,Temperate,NC_019507,Campylobacter sp.,0
Deep-sea thermophilic phage D6E,Temperate,NC_019544,Geobacillus sp. E263,0
Burkholderia virus DC1,Temperate,NC_018452,Burkholderia cepacia,0
Geobacillus virus E2,Temperate,NC_009552,Geobacillus,0
Escherichia virus ECB2,Temperate,NC_018859,Escherichia coli,0
Enterococcus phage EF62phi,Temperate,NC_017732,Enterococcus faecalis,0
Cronobacter phage ENT39118,Temperate,NC_019934,Cronobacter sakazakii,0
Cronobacter phage ENT47670,Temperate,NC_019927,Cronobacter sakazakii,0
Erwinia virus ENT90,Temperate,NC_019932,Erwinia amylovora,0
Pseudomonas phage F10,Temperate,NC_007805,Pseudomonas aeruginosa,0
Escherichia virus fiAA91ss,Temperate,NC_022750,Shigella sonnei,0
Mycobacterium phage Fredward,Temperate,NC_022753,Mycolicibacterium smegmatis,0
Salmonella virus FSLSP004,Temperate,NC_021774,Salmonella enterica,0
Geobacillus virus GBSV1,Temperate,NC_008376,Geobacillus sp. 6k51,0
Escherichia virus HK106,Temperate,NC_019768,Escherichia coli,0
Enterobacteria phage HK140,Temperate,NC_019710,Escherichia coli,0
Enterobacteria phage HK225,Temperate,NC_019717,Escherichia coli,0
Escherichia virus HK446,Temperate,NC_019714,Escherichia coli,0
Escherichia virus HK542,Temperate,NC_019769,Escherichia coli,0
Escherichia virus HK544,Temperate,NC_019767,Escherichia coli,0
Escherichia virus HK629,Temperate,NC_019711,Escherichia coli,0
Escherichia virus HK630,Temperate,NC_019723,Escherichia coli,0
Escherichia virus HK633,Temperate,NC_019719,Escherichia coli,0
Escherichia phage HK639,Temperate,NC_016158,Escherichia coli,0
Escherichia virus HK75,Temperate,NC_016160,Escherichia coli,0
Puniceispirillum phage HMO-2011,Temperate,NC_021864,Candidatus Puniceispirillum marinum,0
Pelagibacter virus HTVC011P,Temperate,NC_020482,Candidatus Pelagibacter ubique,0
Pelagibacter virus HTVC019P,Temperate,NC_020483,Candidatus Pelagibacter ubique,0
Enterobacteria phage IME10,Temperate,NC_019501,Escherichia coli,0
Staphylococcus virus IPLA35,Temperate,NC_011612,Staphylococcus aureus,0
Staphylococcus virus IPLA5,Temperate,NC_018281,Staphylococcus epidermidis,0
Staphylococcus virus IPLA7,Temperate,NC_018284,Staphylococcus epidermidis,0
Staphylococcus virus IPLA88,Temperate,NC_011614,Staphylococcus aureus,0
Lactobacillus phage J-1,Temperate,NC_022756,Lacticaseibacillus paracasei,0
Lactobacillus phage JCL1032,Temperate,NC_019456,Lactobacillus delbrueckii,0
Staphylococcus phage JS01,Temperate,NC_021773,Staphylococcus aureus,0
Vibrio virus K139,Temperate,NC_003313,Vibrio cholerae,0
Lactobacillus phage KC5a,Temperate,NC_007924,Lactobacillus gasseri,0
Helicobacter virus KHP30,Temperate,NC_019928,Helicobacter pylori,0
Helicobacter virus KHP40,Temperate,NC_019931,Helicobacter pylori,0
Burkholderia virus KL3,Temperate,NC_015266,Burkholderia ambifaria,0
Burkholderia virus KS14,Temperate,NC_015273,Burkholderia cenocepacia,0
Burkholderia virus KS5,Temperate,NC_015265,Burkholderia cenocepacia,0
Yersinia virus L413C,Temperate,NC_004745,Yersinia pestis,0
Mycobacterium phage Leo,Temperate,NC_021556,Mycolicibacterium smegmatis,0
Lactobacillus phage LF1,Temperate,NC_019486,Lactobacillus sp.,0
Lactobacillus prophage Lj771,Temperate,NC_010179,Lactobacillus johnsonii,0
Lactobacillus prophage Lj928,Temperate,NC_005354,Lactobacillus johnsonii,0
Lactobacillus prophage Lj965,Temperate,NC_005355,Lactobacillus johnsonii,0
Listeria virus LP302,Temperate,NC_021539,Listeria monocytogenes,0
Lactobacillus phage Lrm1,Temperate,NC_011104,Lacticaseibacillus rhamnosus,0
Lactobacillus phage Lv-1,Temperate,NC_011801,Lactobacillus jensenii,0
Pseudomonas virus M6,Temperate,NC_007809,Pseudomonas aeruginosa,0
Microcystis virus Ma-LMM01,Temperate,NC_008562,NA,0
Enterobacteria phage mEp043 c-1,Temperate,NC_019706,Escherichia coli,0
Enterobacterial phage mEp213,Temperate,NC_019720,Escherichia coli,0
Escherichia virus mEp234,Temperate,NC_019715,Escherichia coli,0
Enterobacteria phage mEp235,Temperate,NC_019708,Escherichia coli,0
Enterobacteria phage mEp237,Temperate,NC_019704,Escherichia coli,0
Enterobacterial phage mEp390,Temperate,NC_019721,Escherichia coli,0
Enterobacteria phage mEp460,Temperate,NC_019716,Escherichia coli,0
Escherichia virus mEpX1,Temperate,NC_019709,Escherichia coli,0
Escherichia virus mEpX2,Temperate,NC_019705,Escherichia coli,0
Escherichia virus Min27,Temperate,NC_010237,Escherichia coli,0
Pseudomonas virus MP1412,Temperate,NC_018282,Pseudomonas aeruginosa,0
Streptomyces phage mu1/6,Temperate,NC_007967,Kitasatospora aureofaciens,0
Myxococcus virus Mx8,Temperate,NC_003085,Myxococcus xanthus,0
Brochothrix phage NF5,Temperate,NC_015252,Brochothrix thermosphacta,0
Escherichia virus NJ01,Temperate,NC_018835,Escherichia coli,0
Prochlorococcus virus PSSP3,Temperate,NC_020874,Prochlorococcus marinus,0
Escherichia phage P13374,Temperate,NC_018846,Escherichia coli,0
Thermus virus P23-45,Temperate,NC_009803,Thermus thermophilus,0
Thermus virus P74-26,Temperate,NC_009804,Thermus thermophilus,0
Streptococcus phage P9,Temperate,NC_009819,Streptococcus equi,0
Staphylococcus phage P954,Temperate,NC_013195,Staphylococcus aureus,0
Pseudomonas phage PAJU2,Temperate,NC_011373,Pseudomonas aeruginosa,0
Planktothrix phage PaV-LD,Temperate,NC_016564,Planktothrix agardhii,0
Sulfitobacter phage pCB2047-A,Temperate,NC_020858,Sulfitobacter sp. CB2047,0
Sulfitobacter phage pCB2047-C,Temperate,NC_020856,Sulfitobacter sp. CB2047,0
Erwinia phage PEp14,Temperate,NC_016767,Erwinia pyrifoliae,0
Pseudomonas virus Pf1,Temperate,NC_001331,Pseudomonas aeruginosa,0
Streptococcus phage PH10,Temperate,NC_012756,Streptococcus oralis,0
Staphylococcus virus PH15,Temperate,NC_008723,Staphylococcus epidermidis,0
Streptococcus phage PH15,Temperate,NC_010945,Streptococcus gordonii,0
Thermus phage phi OH2,Temperate,NC_021784,Thermus thermophilus,0
Bacillus phage phi105,Temperate,NC_004167,Bacillus subtilis,0
Staphylococcus phage phi2958PVL,Temperate,NC_011344,Staphylococcus aureus,0
Pseudomonas phage phi297,Temperate,NC_016762,Pseudomonas aeruginosa,0
Streptococcus phage phi3396,Temperate,NC_009018,Streptococcus dysgalactiae,0
Cellulophaga phage phi46:1,Temperate,NC_021800,Cellulophaga baltica,0
Staphylococcus phage phi5967PVL,Temperate,NC_019921,Staphylococcus aureus,0
Staphylococcus phage phi7401PVL,Temperate,NC_020199,Staphylococcus aureus,0
Streptococcus phage phiBHN167,Temperate,NC_022791,Streptococcus pneumoniae,0
Clostridium virus phiC2,Temperate,NC_009231,Clostridioides difficile,0
Clostridium virus phiCD119,Temperate,NC_007917,Clostridioides difficile,0
Clostridium virus phiCD27,Temperate,NC_011398,Clostridioides difficile,0
Clostridium phage phiCD38-2,Temperate,NC_015568,Clostridioides difficile,0
Clostridium phage phiCD6356,Temperate,NC_015262,Clostridioides difficile,0
Clostridium phage phiCP13O,Temperate,NC_019506,Clostridium perfringens,0
Clostridium phage phiCP26F,Temperate,NC_019496,Clostridium perfringens,0
Clostridium phage phiCP34O,Temperate,NC_019508,Clostridium perfringens,0
Clostridium phage phiCP39-O,Temperate,NC_011318,Clostridium perfringens,0
Burkholderia virus phiE202,Temperate,NC_009234,Burkholderia thailandensis,0
Escherichia virus phiEco32,Temperate,NC_010324,Escherichia coli,0
Enterococcus phage phiEf11,Temperate,NC_013696,Enterococcus faecalis,0
Cronobacter phage phiES15,Temperate,NC_018454,Cronobacter sakazakii,0
Erwinia phage phiEt88,Temperate,NC_015295,Erwinia tasmaniensis,0
Staphylococcus virus phiETA2,Temperate,NC_008798,Staphylococcus aureus,0
Staphylococcus virus phiETA3,Temperate,NC_008799,Staphylococcus aureus,0
Enterococcus virus FL1,Temperate,NC_013646,Enterococcus faecalis,0
Enterococcus virus FL2,Temperate,NC_013643,Enterococcus faecalis,0
Enterococcus virus FL3,Temperate,NC_013648,Enterococcus faecalis,0
Enterococcus phage phiFL4A,Temperate,NC_013644,Enterococcus faecalis,0
Halomonas virus HAP1,Temperate,NC_010342,Halomonas aquamarina,0
Helicobacter phage phiHP33,Temperate,NC_016568,Helicobacter pylori,0
Paenibacillus phage phiIBB_Pl23,Temperate,NC_021865,Paenibacillus larvae,0
Mannheimia virus PHL101,Temperate,NC_008201,Mannheimia haemolytica,0
Clostridium phage phiMMP02,Temperate,NC_019421,Clostridioides difficile,0
Clostridium phage phiMMP04,Temperate,NC_019422,Clostridioides difficile,0
Staphylococcus virus phiMR11,Temperate,NC_010147,Staphylococcus aureus,0
Staphylococcus virus phiMR25,Temperate,NC_010808,Staphylococcus aureus,0
Streptococcus phage phiNJ2,Temperate,NC_019418,Streptococcus suis,0
Staphylococcus virus phiNM1,Temperate,NC_008583,NA,0
Staphylococcus phage phiNM3,Temperate,NC_008617,Staphylococcus aureus,0
Aeromonas virus phiO18P,Temperate,NC_009542,Aeromonas media,0
Staphylococcus phage phiPVL-CN125,Temperate,NC_012784,Staphylococcus aureus,0
Staphylococcus phage phiRS7,Temperate,NC_022914,Staphylococcus saprophyticus,0
Bacillus phage phIS3501,Temperate,NC_019502,Bacillus thuringiensis,0
Clostridium phage PhiS63,Temperate,NC_017978,Clostridium perfringens,0
Sodalis phage phiSG1,Temperate,NC_007902,Sodalis glossinidius,0
Escherichia virus phiV10,Temperate,NC_007804,Escherichia coli,0
Lactobacillus phage PL-1,Temperate,NC_022757,Lacticaseibacillus paracasei,0
Pseudomonas virus PMG1,Temperate,NC_016765,Pseudomonas aeruginosa,0
Psychrobacter phage pOW20-A,Temperate,NC_020841,Psychrobacter sp. OW20,0
